class,date,amo_period,amo_balance
eco,"June 30, 2019",20,-2827000
eco,"June 30, 2019",n/a,-738000
eco,"June 30, 2019",20,1048000
eco,"June 30, 2020",20,2490000
eco,"June 30, 2020",20,4096000
eco,"June 30, 2021",20,2618000
eco,"June 30, 2021",20,-1379000
eco,"June 30, 2022",21,1296000
eco,"June 30, 2022",21,1620000
judges,"June 30, 1999",8,31000
judges,"June 30, 2004",13,25536000
judges,"June 30, 2009",18,20209000
judges,"June 30, 2009",18,511245000
judges,"June 30, 2009",18,-277331000
judges,"June 30, 2009",18,-25541000
judges,"June 30, 2010",19,-22492000
judges,"June 30, 2010",19,3233000
judges,"June 30, 2011",20,86529000
judges,"June 30, 2012",20,6842000
judges,"June 30, 2013",20,112010000
judges,"June 30, 2014",20,25735000
judges,"June 30, 2014",20,-56908000
judges,"June 30, 2015",20,5714000
judges,"June 30, 2016",20,7630000
judges,"June 30, 2016",20,37338000
judges,"June 30, 2017",20,14789000
judges,"June 30, 2017",20,-2714000
judges,"June 30, 2018",20,15590000
judges,"June 30, 2018",20,38086000
judges,"June 30, 2019",20,-47179000
judges,"June 30, 2019",n/a,-22709000
judges,"June 30, 2019",20,32850000
judges,"June 30, 2020",20,26806000
judges,"June 30, 2020",20,-9834000
judges,"June 30, 2021",20,31326000
judges,"June 30, 2021",20,209000
judges,"June 30, 2022",21,14897000
judges,"June 30, 2022",21,-24625000
admin,"June 30, 1999",8,-241000
admin,"June 30, 2000",9,40000
admin,"June 30, 2004",13,9664000
admin,"June 30, 2009",18,1323000
admin,"June 30, 2009",18,19883000
admin,"June 30, 2009",18,-22065000
admin,"June 30, 2009",18,0
admin,"June 30, 2010",19,1205000
admin,"June 30, 2010",19,-550000
admin,"June 30, 2011",20,2927000
admin,"June 30, 2012",20,612000
admin,"June 30, 2013",20,2948000
admin,"June 30, 2014",20,-6120000
admin,"June 30, 2014",20,6934000
admin,"June 30, 2015",20,-6118000
admin,"June 30, 2016",20,515000
admin,"June 30, 2016",20,2050000
admin,"June 30, 2017",20,999000
admin,"June 30, 2017",20,2516000
admin,"June 30, 2018",20,1018000
admin,"June 30, 2018",20,697000
admin,"June 30, 2019",20,-2889000
admin,"June 30, 2019",n/a,-1828000
admin,"June 30, 2019",20,2148000
admin,"June 30, 2020",20,1647000
admin,"June 30, 2020",20,1053000
admin,"June 30, 2021",20,1717000
admin,"June 30, 2021",20,-4089000
admin,"June 30, 2022",21,836000
admin,"June 30, 2022",21,-666000
senior management,"June 30, 1999",8,-1998000
senior management,"June 30, 2004",13,198538000
senior management,"June 30, 2009",18,65011000
senior management,"June 30, 2009",18,1266182000
senior management,"June 30, 2009",18,-287398000
senior management,"June 30, 2009",18,-53836000
senior management,"June 30, 2010",19,35485000
senior management,"June 30, 2010",19,-92968000
senior management,"June 30, 2011",20,135341000
senior management,"June 30, 2012",20,70063000
senior management,"June 30, 2013",20,396327000
senior management,"June 30, 2014",20,-156584000
senior management,"June 30, 2014",20,63180000
senior management,"June 30, 2015",20,54309000
senior management,"June 30, 2016",20,32401000
senior management,"June 30, 2016",20,101723000
senior management,"June 30, 2017",20,61150000
senior management,"June 30, 2017",20,82935000
senior management,"June 30, 2018",20,63205000
senior management,"June 30, 2018",20,81727000
senior management,"June 30, 2019",20,23274000
senior management,"June 30, 2019",n/a,-68418000
senior management,"June 30, 2019",20,130231000
senior management,"June 30, 2020",20,112644000
senior management,"June 30, 2020",20,140394000
senior management,"June 30, 2021",20,134725000
senior management,"June 30, 2021",20,-75675000
senior management,"June 30, 2022",21,66829000
senior management,"June 30, 2022",21,69585000
drop,"June 30, 2004",13,-62935000
drop,"June 30, 2009",18,633656000
drop,"June 30, 2009",18,-22471431000
drop,"June 30, 2009",18,23854773000
drop,"June 30, 2010",19,263857000
drop,"June 30, 2011",20,951887000
drop,"June 30, 2012",20,-124977000
drop,"June 30, 2013",20,5292000
drop,"June 30, 2014",20,265977000
drop,"June 30, 2014",20,-670106000
drop,"June 30, 2015",20,-209631000
drop,"June 30, 2016",20,84260000
drop,"June 30, 2016",20,-441179000
drop,"June 30, 2017",20,178514000
drop,"June 30, 2017",20,208063000
drop,"June 30, 2018",20,187159000
drop,"June 30, 2018",20,9668000
drop,"June 30, 2019",20,201089000
drop,"June 30, 2019",20,-125046000
drop,"June 30, 2020",20,390605000
drop,"June 30, 2020",20,131779000
drop,"June 30, 2021",20,400591000
drop,"June 30, 2021",20,-639550000
drop,"June 30, 2022",21,186528000
drop,"June 30, 2022",21,-5108000
